Year,Approx,Era,Year Era,Real Year,Start,End,Category,Character,Game,Source,Title,Image,Description
75383,FALSE,BCE,75383 BCE,"-75,383",-75383-01-01,-75383-01-01,Pieces of Eden,Consus,Assassin's Creed Syndicate,Timeline | Assassin's Creed Wiki,Shroud of Eden Created,,"During the War of Unification, Consus, a scientist of the Isu, created the first Shroud of Eden to treat casualties of the war."
75145,FALSE,BCE,75145 BCE,"-75,145",-75145-01-01,-75145-01-01,Isu,Yaldabaoth,Assassin's Creed Valhalla,Project Anthropos | Assassin's Creed Wiki,Project Anthropos,,"Project Anthropos was an Isu project whose aim was the creation of the human race as a docile, subservient workforce.

Commissioned around 2161 Isu Era (c.75,145 BCE) under the supervision of the ""Father of Understanding"" Yaldabaoth, the ""Mother of Wisdom"" Saklas, and the ""Sacred Voice"" Samael,[1] Project Anthropos sought to create a species in the Isu's own image that was extremely resilient, but completely subservient."
75100,TRUE,BCE,75100 BCE,"-75,100",-75100-01-01,-75100-01-01,Pieces of Eden,Aletheia,Assassin's Creed Odyssey,Staff of Hermes Trismegistus | Assassin's Creed Wiki,Manufacture of Staff of Hermes Trismegistus,,"During the Isu Era, the Isu Aletheia replicated her own consciousness into the Staff, such that in the future, she would be able to interact and help the staff wielder to master its power."
75010,FALSE,BCE,75010 BCE,"-75,010",-75010-01-01,-75010-01-01,Isu,Eve,Assassin's Creed II,Assassin's Creed Timeline | Gamesradar,Eve Triggers an Human-Isu War,,Eve steals an all-powerful ancient artefact known as an Apple of Eden from the Isu - a Piece of Eden with the potential to enslave humanity. Eve grabs Adam and the pair escape triggering a war between humans and Isu over the following decade.
75000,FALSE,BCE,75000 BCE,"-75,000",-75000-01-01,-75000-01-01,Extinction Events,,Assassin's Creed: Revelations,Assassin's Creed Timeline | Gamesradar,The [Toba|Great|First] Catastrophe / Ragnarök,,"A cataclysmic event during human prehistory, caused by a coronal mass ejection, which saw the near total extinction of both humanity and the Isu who were in military conflict at the time. Consequently the Isu did not forsee the coming apocalypse until it was too late. Despite this, certain members of the First Civilization worked to find a means of suppressing it – or to at least protect future generations from the predicted recurrence – by researching ways of combatting the cataclysm within underground Vaults."
1549,TRUE,BCE,1549 BCE,"-1,549",-1549-01-01,-1549-01-01,Leap of Faith,,Assassin's Creed Origins,Leap of Faith | Assassin's Creed Wiki,The First Leap of Faith,,"The Assassin tradition of the Leap of Faith evolved from an ancient practice that was performed by the Medjay of Egypt who were the only people who knew how to correctly perform the Leap and survive. A Medjay named Bayek of Siwa attempted to teach the Leap to his son, Khemu, but unfortunately Khemu was killed before he could learn it. 

The first mentions of Medjay date back to the Old Kingdom, where Medjay referred to citizens of the land of Medja. By the Eighteenth Dynasty during the New Kingdom, the Medjay were an elite paramilitary police force. [From ""real-world"" Wikipedia]."
1500,TRUE,BCE,1500 BCE,"-1,500",-1500-01-01,-1500-01-01,Pieces of Eden,Moses,Assassin's Creed II,Timeline | Assassin's Creed Wiki,Moses & The Staff of Eden,,Moses used the powers of a Staff of Eden to free the Israelites from Egyptian rule and to split the Red Sea during their escape.
1334,FALSE,BCE,1334 BCE,"-1,334",-1334-01-01,-1334-01-01,Order of the Ancients,,Assassin's Creed Origins,Timeline | Assassin's Creed Wiki,Order of the Ancients,,"The Order of the Ancients was founded by Pharaoh Smenkhkare, with the goal of obtaining knowledge and artifacts previously possessed by the First Civilization. The group would later develop into the Order of the Knights Templar."
1260,FALSE,BCE,1260 BCE,"-1,260",-1260-01-01,-1260-01-01,Isu,Eris,Assassin's Creed,Timeline | Assassin's Creed Wiki,Trojan War,,"The Trojan War started due to an Apple of Eden, later believed to have been caused by the Isu Eris. The war saw the rise and fall of many famous heroes, including Achilles and Paris. Greek commander Agamemnon would later be revered by the Cult of Kosmos as a ""servant of Kosmos""."
600,TRUE,BCE,600 BCE,-600,-600-01-01,-600-01-01,Pieces of Eden,Pythagoras,Assassin's Creed Odyssey,Staff of Hermes Trismegistus | Assassin's Creed Wiki,Trismegistus Staff Bestowed to Pythagorus,,"Around the 6th Century BCE, Hermes handed the staff over to the Greek philosopher Pythagoras in a remote desert. Pythagorus, living abnormally long using the staff, set out to learn more about the staff eventually discovering the secret ruins of Atlantis, with which the staff is connected."
560,TRUE,BCE,560 BCE,-560,-560-01-01,-560-01-01,Pieces of Eden,Anaxandridas II of Sparta,Assassin's Creed Odyssey,Spear of Leonidas | Assassin's Creed Wiki,First Human to Wield the Spear of Leonidas,,The first known human to wield the spear was the first wife of King Anaxandridas II of Sparta and the mother of Leonidas I
500,TRUE,BCE,500 BCE,-500,-500-01-01,-500-01-01,Pieces of Eden,Kassandra,Assassin's Creed Odyssey,Staff of Hermes Trismegistus | Assassin's Creed Wiki,Kassandra becomes Keeper of the Staff,,"Around the 5th Century BCE, misthios Kassandra reached the entrance of Atlantis, encountering Pythagorus where he sealed Atlantis and relented the staff, immediately passing away in the absence of its powers. Kassandra later witnessed a recording from Aletheia asking her to hold onto the staff until she met the ""Heir of Memories"", fully embracing her role as Keeper of the Staff until then."
481,TRUE,BCE,481 BCE,-481,-481-01-01,-481-01-01,Pieces of Eden,Herodotus,Assassin's Creed Odyssey,Spear of Leonidas | Assassin's Creed Wiki,Kassandra Passes Broken Spear Down to Herodotus ,,Kassandra left the Spear to Herodotus as something to remember her by once its power was exhausted. The Spear was subsequently buried beneath the Book of Herodotus and laid untouched for centuries until 2018 when both objects were recovered by Layla Hassan
480,FALSE,BCE,480 BCE,-480,-480-01-01,-480-01-01,Pieces of Eden,Myrinne,Assassin's Creed Odyssey,Spear of Leonidas | Assassin's Creed Wiki,Spear Passed Down Again to Leonidas' Daughter Myrinne,,"After being broken during the Battle of Thermopylae, the broken tip was recovered by the Spartans and handed over to Leonidas' daughter Myrrine."
465,FALSE,BCE,465 BCE,-465,-465-01-01,-465-01-01,Characters,Natakas,Assassin's Creed: Legacy of the First Blade,Assassin's Creed Timeline | Gamesradar,"Natakas: Kassandra's Lover, Ancestor of Aya",,"Natakas (killed in 422 BCE by a member of The Immortals) was the son of Darius, the assassin of King Xerxes I of Persia. He later gets together with Kassandra. Those two then produce a son, Elpidios, who is an ancestor of Origin's Aya or Amunet. "
448,FALSE,BCE,448 BCE,-448,-448-01-01,-448-01-01,Pieces of Eden,Kassandra,Assassin's Creed Odyssey,Spear of Leonidas | Assassin's Creed Wiki,Spear Passed Down Once More to Kassandra,,Myrrine would in return hand down the Spear to Kassandra on one occasion when she was seven years old.
440,TRUE,BCE,440 BCE,-440,-440-01-01,-440-01-01,Pieces of Eden,Leonidas of Sparta,Assassin's Creed Odyssey,Spear of Leonidas | Assassin's Creed Wiki,Spear Given to Leonidas I,,"Leonidas was given the spear by his mother, wife of Anaxandridas II of Sparta, wielding it until his death in 480 BCE at the Battle of Thermopylae."
431,FALSE,BCE,431 BCE,-431,-431-01-01,-431-01-01,Characters,Ezio Auditore da Firenze,Assassin's Creed II,Ezio Auditore da Firenze | Assassin's Creed Wiki,Ezio & All Other Assassins Envisioned,,"After the Cult of Kosmos had been defeated by the Spartan misthios Kassandra during the Peloponnesian War, she saw a vision of Ezio and all the Assassins that would follow her legacy in fighting against chaos. This premonition alluded to the war that would continue for centuries afterwards between the Assassins and the Templars."
85,FALSE,BCE,85 BCE,-85,-85-01-01,-85-01-01,Characters,Bayek of Siwa,Assassin's Creed Origins,Bayek | Assassin's Creed Wiki,Bayek of Siwa is Born,,"Bayek of Siwa (born c. 85 BCE), also known by the alias Amun, was one of the last Medjay of Egypt and the founder of the Hidden Ones alongside his wife, Aya. "
49,FALSE,BCE,49 BCE,-49,-49-01-01,-49-01-01,Characters,Bayek of Siwa,Assassin's Creed Origins,Bayek | Assassin's Creed Wiki,Khemu is Killed by the Order of Ancients,,"The Order of the Ancients, a proto-Templar organization, murdered his son, Khemu, because the two refused to cooperate in unlocking the Siwa Vault for them."
48,FALSE,BCE,48 BCE,-48,-48-01-01,-48-01-01,Characters,Reda,Assassin's Creed Origins,Reda | Assassin's Creed Wiki,Reda in Egypt,,An Egyptian nomadic merchant and child prodigy. He made rounds throughout Lower Egypt and Cyrenaica with his camel Amun during the reign of Ptolemy XIII.
38,FALSE,BCE,38 BCE,-38,-38-01-01,-38-01-01,Characters,Reda,Assassin's Creed Origins,Reda | Assassin's Creed Wiki,"Reda, 10 Years Later, Hasn't Aged a Day",,"By 38 BCE, Reda also extended his travels to the Sinai and Upper Egypt, yet strangely had not seemed to have aged a day in the ten years since Bayek had last seen him."
873,FALSE,CE,873 CE,873,873-01-01,873-01-01,Characters,Reda,Assassin's Creed Valhalla,Reda | Assassin's Creed Wiki,"Reda, Centuries Later, in England",,Toured England accompanied by an Anglo-Saxon man during the reign of Alfred the Great as representative of the Thousand Eyes. He eventually met the Viking shieldmaiden Eivor Varinsdottir as she assisted the Raven Clan in settling their new home of Ravensthorpe.
